Date,Close
2023-01-02,101.76405234596767
2023-01-03,102.16420955433489
2023-01-04,103.14294753844062
2023-01-05,105.38384073764209
2023-01-06,107.25139872779205
2023-01-09,106.27412084791564
2023-01-10,107.22420926544123
2023-01-11,107.07285205714354
2023-01-12,106.96963320534998
2023-01-13,107.38023170728835
2023-01-16,107.52427527844922
2023-01-17,108.9785487854122
2023-01-18,109.73958651055919
2023-01-19,109.86126152705202
2023-01-20,110.30512475979745
2023-01-23,110.63879908717172
2023-01-24,112.13287816032931
2023-01-25,111.92771989656352
2023-01-26,112.24078759821441
2023-01-27,111.3866918589127
2023-01-30,108.83370204307862
2023-01-31,109.48732063851898
2023-02-01,110.35175683737847
2023-02-02,109.60959181697204
2023-02-03,111.87934644095964
2023-02-06,110.42498076636087
2023-02-07,110.47073928366233
2023-02-08,110.2835554336365
2023-02-09,111.81633464799495
2023-02-10,113.28569341789523
2023-02-13,113.44064084359215
2023-02-14,113.81880336319432
2023-02-15,112.93101761556422
2023-02-16,110.95022114734029
2023-02-17,110.60230899801414
2023-02-20,110.75865796711811
2023-02-21,111.98894864784583
2023-02-22,113.19132849663025
2023-02-23,112.8040016792223
2023-02-24,112.50169892864696
2023-02-27,111.45314596357986
2023-02-28,110.03312802640089
2023-03-01,108.32685783577588
2023-03-02,110.27763323100767
2023-03-03,109.76798104925601
2023-03-06,109.32990674764483
2023-03-07,108.0771113875949
2023-03-08,108.85460174342681
2023-03-09,107.24070389586886
2023-03-10,107.0279636156549
2023-03-13,106.13249705446121
2023-03-14,106.51939955232048
2023-03-15,106.0085944147516
2023-03-16,104.8279622306292
2023-03-17,104.79978000229053
2023-03-20,105.22811187282096
2023-03-21,105.29462909520413
2023-03-22,105.59710099294391
2023-03-23,104.96277889926294
2023-03-24,104.6000377332758
2023-03-27,103.92757728549985
2023-03-28,103.5680241239593
2023-03-29,102.75487784191486
2023-03-30,101.02859523958318
2023-03-31,101.20602138183693
2023-04-03,100.80424044562866
2023-04-04,99.17404209866262
2023-04-05,99.6368243541884
2023-04-06,98.72952598980515
2023-04-07,98.7814713856013
2023-04-10,99.51056194777884
2023-04-11,99.63954485853624
2023-04-12,100.77894554307954
2023-04-13,99.5441197227259
2023-04-14,99.94646136390344
2023-04-17,99.26165127296312
2023-04-18,98.39085412378125
2023-04-19,97.81200445901683
2023-04-20,97.50045192688945
2023-04-21,97.5566172691192
2023-04-24,96.39146742833584
2023-04-25,97.29229391529003
2023-04-26,97.7579563550205
2023-04-27,96.22171266874327
2023-04-28,97.70996486253887
2023-05-01,99.60585403856945
